pos:	score:
9850	-39.603
9900	-28.876
9950	-32.339
10000	-40.506
10050	-23.257
10100	-20.871
10150	-26.739
10200	-29.698
10250	-36.115
10300	-48.637
10350	-43.795
10400	-38.756
10450	-29.758
10500	-28.893
10550	-25.343
10600	-20.685
10650	-18.493
10700	-20.146
10750	-17.864
10800	-33.915
10850	-42.765
10900	-40.665
10950	-50.973
11000	-35.88
11050	-27.043
11100	-27.734
11150	-21.855
11200	-30.21
11250	-33.561
11300	-29.776
11350	-47.3
11400	-54.757
11450	-68.662
11500	-70.112
11550	-53.428
11600	-39.307
11650	-25.215
11700	-25.938
11750	-31.738
11800	-48.176
11850	-50.511
11900	-43.595
11950	-47.363
12000	-21.093
12050	-17.678
12100	-25.415
12150	-28.257
12200	-44.672
12250	-58.004
12300	-79.182
12350	-66.567
12400	-55.732
12450	-51.245
12500	-27.187
12550	-21.695
12600	-34.512
12650	-34.655
12700	-44.391
12750	-44.213
12800	-30.291
12850	-23.464
12900	-19.825
12950	-17.482
13000	-23.279
13050	-28.122
13100	-27.931
13150	-41.607
13200	-34.329
13250	-26.105
13300	-23.697
13350	-7.154
13400	-5.795
13450	-10.184
13500	-7.124
13550	-4.6
13600	-1.13
13650	14.748
13700	23.788
13750	8.603
13800	-6.443
13850	-20.478
13900	-31.928
13950	-31.605
14000	-17.88
14050	-19.173
14100	-10.11
14150	-4.038
14200	-10.744
14250	-14.907
14300	-22.434
14350	-17.3
14400	-21.329
14450	-10.322
14500	-13.757
14550	-23.005
14600	-19.69
14650	-18.615
14700	-24.692
14750	-35.609
14800	-48.98
14850	-66.918
14900	-60.114
14950	-52.642
15000	-40.587
15050	-27.44
15100	-32.946
15150	-29.871
15200	-27.374
15250	-30.441
15300	-19.138
15350	-7.414
15400	-9.562
15450	-10.84
15500	-8.033
15550	-14.448
15600	-25.769
15650	-25.292
15700	-26.132
15750	-28.426
15800	-49.159
15850	-43.707
15900	-36.438
15950	-40.847
16000	-25.771
16050	-23.709
16100	-30.32
16150	-22.044
16200	-0.405
16250	1.242
16300	-13.601
16350	-8.077
16400	-12.173
16450	-8.862
16500	0.507
16550	0.699
16600	-1.554
16650	-26.068
16700	-33.011
16750	-53.512
16800	-45.524
16850	-27.564
16900	-23.126
16950	-7.908
17000	-13.658
17050	-24.754
17100	-14.746
17150	-14.202
17200	-17.85
17250	-2.437
17300	3.808
17350	15.026
17400	2.891
17450	6.333
17500	-7.64
17550	-28.305
17600	-14.619
17650	-23.001
17700	-32.154
17750	-13.387
17800	-25.677
17850	-15.144
17900	7.544
17950	2.099
18000	8.42
18050	-17.876
18100	-39.607
18150	-34.334
18200	-28.913
18250	-6.12
18300	-13.793
18350	-26.055
18400	-36.427
18450	-51.952
18500	-28.644
18550	-24.222
18600	-21.784
18650	-11.278
18700	-10.513
18750	-8.441
18800	0.312
18850	-14.867
18900	-15.551
18950	-19.831
19000	-50.941
19050	-36.793
19100	-40.088
19150	-23.217
19200	-7.545
19250	-26.919
19300	-31.245
19350	-42.401
19400	-21.1
19450	3.488
19500	5.589
19550	5.213
19600	-9.085
19650	-20.958
19700	-11.422
19750	-25.796
19800	-19.594
19850	-9.221
19900	-14.832
19950	-6.237
20000	-2.712
20050	-7.739
20100	-19.902
20150	-14.803
20200	-8.723
20250	-13.127
20300	-6.221
20350	-21.641
20400	-21.453
20450	-22.711
20500	-21.448
20550	-3.232
20600	-3.991
20650	-20.482
20700	-18.644
20750	-26.872
20800	-38.794
20850	-26.23
20900	-18.773
20950	-18.042
21000	-10.869
21050	-19.162
21100	-35.892
21150	-28.458
21200	-31.908
21250	-19.652
21300	-8.985
21350	-4.355
21400	-5.3
21450	-0.526
21500	-12.586
21550	-38.549
21600	-36.691
21650	-42.133
21700	-27.296
21750	-4.528
21800	3.94129173742e-15
21850	2.2
21900	-9.814
21950	-26.826
22000	-27.117
22050	-15.465
22100	-3.524
22150	3.538
22200	-12.917
22250	-23.849
22300	-25.155
22350	-48.029
22400	-39.542
22450	-32.885
22500	-48.318
22550	-15.18
22600	-4.334
22650	-15.113
22700	-10.854
22750	-10.455
22800	-22.264
22850	-22.437
22900	-14.865
22950	-16.349
23000	-21.688
23050	-15.645
23100	-37.793
23150	-45.144
23200	-30.408
23250	-42.246
23300	-18.6
23350	-12.808
23400	-25.897
23450	-17.796
23500	-20.655
23550	-41.487
23600	-40.564
23650	-32.506
23700	-31.708
23750	-10.299
23800	-3.741
23850	-2.966
23900	-4.35
23950	-6.614
24000	1.381
24050	-4.229
24100	6.743
24150	0.771
24200	1.848
24250	16.087
24300	18.542
24350	33.323
24400	13.323
24450	1.64
24500	0.573
24550	-6.423
24600	5.958
24650	3.147
24700	-0.682
24750	-0.387
24800	-5.705
24850	-9.028
24900	-12.459
24950	-13.662
25000	-11.18
25050	-11.588
25100	-10.484
25150	-12.797
25200	-13.995
25250	-15.156
25300	-15.54
25350	-13.265
25400	-14.531
25450	-12.633
25500	-13.986
25550	-15.753
25600	-15.193
25650	-15.34
25700	-14.783
25750	-12.651
25800	-12.444
25850	-10.34
25900	-9.129
25950	-11.605
26000	-12.097
26050	-14.822
26100	-16.508
26150	-8.417
26200	-12.243
26250	-10.763
26300	-11.087
26350	-16.555
26400	-15.443
26450	-15.441
26500	-16.981
26550	-18.803
26600	-16.825
26650	-18.437
26700	-17.002
26750	-8.798
26800	-2.322
26850	8.265
26900	15.174
26950	8.014
27000	5.78
27050	3.297
27100	5.657
27150	4.222
27200	6.225
27250	2.79
27300	5.704
27350	7.327
27400	4.821
27450	10.129
27500	4.919
27550	3.371
27600	6.493
27650	-0.292
27700	5.352
27750	5.168
27800	-4.422
27850	-7.878
27900	-7.157
27950	0.637
28000	6.554
28050	12.928
28100	13.196
28150	10.402
28200	12.917
28250	16.911
28300	13.705
28350	8.905
28400	4.674
28450	6.293
28500	2.662
28550	6.501
28600	11.539
28650	8.25
28700	7.625
28750	6.342
28800	9.646
28850	12.878
28900	19.368
28950	23.268
29000	24.872
29050	28.401
29100	31.005
29150	38.489
29200	47.673
29250	43.733
29300	44.428
29350	55.086
29400	53.179
29450	65.429
29500	73.663
29550	76.434
29600	86.055
29650	90.877
29700	87.319
29750	82.72
29800	83.335
29850	87.432
29900	104.12
29950	114.45
30000	121.816
30050	113.109
30100	99.18
30150	87.364
30200	63.306
30250	60.793
30300	54.54
30350	47.166
30400	50.947
30450	39.568
30500	32.762
30550	25.209
30600	23.309
30650	22.1
30700	23.301
30750	18.613
30800	8.552
30850	9.475
30900	9.088
30950	7.942
31000	7.848
31050	5.845
31100	4.048
31150	-1.888
31200	6.15
31250	12.284
31300	13.0
31350	24.748
31400	17.361
31450	12.849
31500	8.155
31550	2.524
31600	2.099
31650	-0.335
31700	-6.361
31750	-10.574
31800	-4.27
31850	-6.158
31900	4.058
31950	4.71
32000	4.55
32050	0.452
32100	0.634
32150	2.131
32200	-5.932
32250	-1.059
32300	-4.765
32350	-0.304
32400	1.917
32450	0.948
32500	12.298
32550	-6.073
32600	-19.996
32650	-42.658
32700	-56.424
32750	-43.339
32800	-29.105
32850	-2.753
32900	4.252
32950	9.913
33000	14.783
33050	7.685
33100	1.645
33150	2.838
33200	-0.897
33250	-1.403
33300	9.264
33350	5.138
33400	4.868
33450	5.126
33500	-5.44
33550	0.229
33600	-1.188
33650	-4.433
33700	-0.145
33750	-5.992
33800	-0.533
33850	6.686
33900	9.856
33950	13.463
34000	7.886
34050	0.994
34100	-10.583
34150	-28.879
34200	-28.166
34250	-29.788
34300	-17.419
34350	-1.616
34400	-1.198
34450	-1.469
34500	0.836
34550	-0.138
34600	-4.101
34650	-2.049
34700	-7.057
34750	-6.062
34800	-5.063
34850	-2.036
34900	-0.733
34950	2.436
35000	-7.271
35050	-12.563
35100	-14.986
35150	-10.133
35200	8.705
35250	21.957
35300	25.516
35350	17.802
35400	11.163
35450	8.766
35500	11.82
35550	12.514
35600	17.666
35650	19.519
35700	24.173
35750	30.002
35800	35.627
35850	33.505
35900	32.558
35950	32.133
36000	23.014
36050	18.095
36100	12.818
36150	11.135
36200	12.384
36250	15.005
36300	15.5
36350	19.48
36400	31.317
36450	36.584
36500	40.876
36550	30.459
36600	2.784
36650	-16.554
36700	-37.506
36750	-46.25
36800	-29.678
36850	-16.846
36900	-12.401
36950	-9.706
37000	-9.443
37050	-16.221
37100	-11.994
37150	-24.774
37200	-38.885
37250	-35.004
37300	-27.455
37350	-19.597
37400	-12.64
37450	-9.668
37500	-15.05
37550	-1.162
37600	-2.317
37650	-16.242
37700	-14.922
37750	-14.71
37800	-16.624
37850	-31.961
37900	-70.764
37950	-109.497
38000	-106.894
38050	-78.969
38100	-50.166
38150	-15.944
38200	-16.357
38250	-25.553
38300	-16.442
38350	-19.1
38400	-30.511
38450	-26.54
38500	-22.766
38550	-38.917
38600	-46.818
38650	-59.038
38700	-78.519
38750	-59.579
38800	-35.57
38850	-35.165
38900	-8.739
38950	-8.092
39000	-12.17
39050	0.394
39100	-15.24
39150	-22.197
39200	-22.897
39250	-19.092
39300	-15.833
39350	-16.444
39400	-15.928
39450	-21.553
39500	-33.563
39550	-23.812
39600	-27.297
39650	-42.055
39700	-32.812
39750	-35.173
39800	-39.913
